Species	AverageGrantham	SummOfAllGrantham	KnKs	MedianOfAllSyn	MedianOfAllNonsyn	FractionOfSyn	FractionOfNonsyn	GenerationLength_d	category
Abrothrix longipilis	48.6642156862745	750	0.171428571428571	95	15	0.853658536585366	0.146341463414634	589.388299099621	LC
Abrothrix olivaceus	23	22	0.0909090909090909	10	1	0.916666666666667	0.0833333333333333	589.388299099621	LC
Acomys cahirinus	60.8125	377	0.160645161290323	75	11	0.845	0.155	650.0125	LC
Acomys dimidiatus	30.5	21	0.0833333333333333	16	1	0.923076923076923	0.0769230769230769	650.0125	LC
Ailuropoda melanoleuca	21	42	0.333333333333333	4	2	0.75	0.25	5246.699416657	VU
Akodon montensis	35.3333333333333	79	0.214285714285714	15	3	0.823529411764706	0.176470588235294	589.388299099621	LC
Akodon spegazzinii	21.6666666666667	64	0.142857142857143	14	3	0.875	0.125	589.388299099621	LC
Alouatta belzebul	81	22	0.0909090909090909	8	1	0.916666666666667	0.0833333333333333	4380	VU
Alouatta caraya	41.6666666666667	33	0.25	4.5	1	0.775	0.225	3750.594	LC
Alouatta guariba	52.75	160	0.422222222222222	9	3	0.692307692307692	0.307692307692308	3888.34118571429	LC
Alouatta seniculus	70.9166666666667	162	0.666666666666667	2	2	0.6	0.4	3833.157	LC
Amblysomus hottentotus	40.5	204	0.126136363636364	45	5	0.887096774193548	0.112903225806452	1036.5575833285	LC
Anourosorex squamipes	33	42	0.0555555555555556	25.5	1	0.947368421052632	0.0526315789473684	379.29295625	LC
Aotus nancymaae	NA	0	0	4	0	1	0	3047.8376	VU
Apodemus agrarius	47	42	0.2	4	1	0.833333333333333	0.166666666666667	504.40745	LC
Apodemus argenteus	21	21	0.0303030303030303	18	1	0.970588235294118	0.0294117647058824	572.56	LC
Apodemus chevrieri	34	144	0.122448979591837	44	5	0.890909090909091	0.109090909090909	554.1929125	LC
Apodemus draco	51	132	0.109126984126984	25	2	0.901612903225806	0.0983870967741935	554.1929125	LC
Apodemus flavicollis	35.5	71	0.2	9	2	0.833333333333333	0.166666666666667	513.1567	LC
Apodemus latronum	36.8571428571429	109	0.115384615384615	22	2	0.896551724137931	0.103448275862069	554.1929125	LC
Apodemus peninsulae	81	155	0.2	7	2	0.833333333333333	0.166666666666667	554.1929125	LC
Apodemus speciosus	21	42	0.142857142857143	11	1	0.875	0.125	554.1929125	LC
Apodemus sylvaticus	21	21	0.0769230769230769	6	1	0.928571428571429	0.0714285714285714	626.6475	LC
Arctocephalus forsteri	52.6666666666667	83	0.166666666666667	12	2	0.857142857142857	0.142857142857143	3285	LC
Artibeus fimbriatus	21	15	0.0344827586206897	17	1	0.966666666666667	0.0333333333333333	1920.4777	LC
Artibeus jamaicensis	33.5	65	0.04	32	1	0.961538461538462	0.0384615384615385	1920.4777	LC
Artibeus lituratus	46	0	0	18	0	1	0	1920.4777	LC
Artibeus obscurus	39.5	67	0.0512820512820513	26	1	0.951219512195122	0.0487804878048781	1920.4777	LC
Artibeus planirostris	51	81	0.0555555555555556	20	1	0.947368421052632	0.0526315789473684	1920.4777	LC
Ateles belzebuth	50.5	116	0.26969696969697	8.5	3	0.787593984962406	0.212406015037594	5475	EN
Avahi laniger	59.3333333333333	178	0.324324324324324	9.5	3	0.752551020408163	0.247448979591837	3649.771875	VU
Balaena mysticetus	22	22	0.333333333333333	3	1	0.75	0.25	18980	LC
Balaenoptera physalus	56.6	21	0.117647058823529	4	1	0.878676470588235	0.121323529411765	9490	VU
Bandicota indica	34	22	0.00735294117647059	28	1	0.992700729927007	0.0072992700729927	639.631831820818	LC
Bison bison	67	81	0.5	2	1	0.6	0.4	4288.14166657	NT
Bison bonasus	58.6	42	0.0666666666666667	14	1	0.936491935483871	0.063508064516129	3595.3298	VU
Blarina brevicauda	39.5	84	0.142857142857143	16	2	0.875	0.125	307.41875	LC
Blarinella griselda	21.75	21	0.0172413793103448	54	1	0.983050847457627	0.0169491525423729	426.91011944525	LC
Brachyphylla cavernarum	42.5	64	1	1	1	0.5	0.5	2064.27635	LC
Cacajao calvus	68	74	0.179487179487179	24	1	0.838709677419355	0.161290322580645	3650	VU
Callosciurus erythraeus	46.7424242424242	400	0.126984126984127	82	9	0.887323943661972	0.112676056338028	1585.1964	LC
Calomys callosus	41.3666666666666	112	0.240384615384615	4	2	0.80625	0.19375	589.388299099621	LC
Calomys expulsus	21	22	0.125	14	1	0.888888888888889	0.111111111111111	589.388299099621	LC
Canis aureus	33.3333333333333	64	0.133333333333333	16	2	0.882352941176471	0.117647058823529	2136.101433343	LC
Canis latrans	53	0	0	3	0	1	0	2569.032222103	LC
Canis lupus	21	0	0	4	0	1	0	2883.256666657	LC
Capra aegagrus	58	137	0.0983870967741935	30	2	0.909090909090909	0.0909090909090909	2097.005	VU
Capra sibirica	50	29	0.00649350649350649	49.5	0.5	0.993589743589744	0.00641025641025641	2875.226666657	LC
Capreolus capreolus	50	99	0.109126984126984	14	2	0.9	0.1	2335.391666657	LC
Capreolus pygargus	81	81	0.105555555555556	9	1	0.9	0.1	3063.8029	LC
Carollia castanea	44.2916666666667	168	0.0833333333333333	69	4	0.923076923076923	0.0769230769230769	1847.5352	LC
Carollia perspicillata	33.3333333333333	100	0.2	18	3	0.833333333333333	0.166666666666667	1847.5352	LC
Carollia sowelli	42.3333333333333	173	0.233333333333333	23	5	0.8	0.2	1847.5352	LC
Cavia aperea	45.6666666666667	151	0.142857142857143	29	4	0.875	0.125	763.4281	LC
Cervus elaphus	35.7083333333333	111	0.2	16	3	0.833333333333333	0.166666666666667	5209.4516	LC
Chaetodipus intermedius	38.5	100	0.230769230769231	10	3	0.8125	0.1875	987.63075	LC
Cheirogaleus crossleyi	62.0833333333333	194	0.1	23.5	2	0.909090909090909	0.0909090909090909	2236.94965	DD
Cheirogaleus major	59.2857142857143	60	0.141428571428571	18	2	0.87609649122807	0.12390350877193	1888.9911	DD
Cheirogaleus medius	62.5384615384615	157.5	0.142857142857143	25	3	0.875	0.125	2584.9082	LC
Chimarrogale himalayica	33.5555555555556	260	0.075	118	7	0.930232558139535	0.0697674418604651	379.29295625	LC
Chionomys roberti	33.5	64	0.166666666666667	10	2	0.857142857142857	0.142857142857143	589.388299099621	LC
Chlorocebus aethiops	42.2857142857143	242	0.230769230769231	20	6	0.805555555555556	0.194444444444444	4533.4825	LC
Chlorocebus pygerythrus	58.2803921568627	711	0.34375	36	13	0.744186046511628	0.255813953488372	4533.4825	LC
Chlorocebus sabaeus	40.4	56	0.2	11	2	0.833333333333333	0.166666666666667	4533.4825	LC
Chlorocebus tantalus	59.3333333333333	236	0.256578947368421	20.5	5	0.795833333333333	0.204166666666667	4533.4825	LC
Colobus angolensis	46	104	0.333333333333333	9	3	0.75	0.25	3864.89375	LC
Colobus guereza	45.9	160	0.6	4	3	0.6	0.4	4509.575	LC
Cricetus cricetus	46.9166666666667	42	0.0714285714285714	9	1	0.933333333333333	0.0666666666666667	467.0175	LC
Crocidura beatus	48.7272727272727	146	0.125	33	3	0.888888888888889	0.111111111111111	427.67965	LC
Crocidura dsinezumi	58	124	0.0810810810810811	11	2	0.925	0.075	427.67965	LC
Crocidura grayi	55.6666666666667	123	0.136363636363636	24	3	0.88	0.12	427.67965	LC
Crocidura monticola	52.8717948717949	349	0.206896551724138	32	5	0.828571428571429	0.171428571428571	409.171225	LC
Crocidura olivieri	21	21	0.0434782608695652	23	1	0.958333333333333	0.0416666666666667	427.67965	LC
Crocidura palawanensis	69.5	81	0.0488095238095238	3	1	0.952380952380952	0.0476190476190476	409.171225	LC
Crocidura paradoxura	21	21	0.0196078431372549	51	1	0.980769230769231	0.0192307692307692	409.171225	LC
Crocidura russula	33.5	21	0.0344827586206897	4	1	0.96638418079096	0.0336158192090395	448.652	LC
Crocidura shantungensis	56.125	116	0.157894736842105	13	2	0.863636363636364	0.136363636363636	409.171225	LC
Crocidura sibirica	23	0	0	8	0	1	0	427.67965	LC
Crocidura tanakae	64	145	0.25	7	2	0.8	0.2	427.67965	LC
Cryptomys hottentotus	49.5	495	0.20253164556962	78	10	0.831578947368421	0.168421052631579	1606.95955	LC
Ctenomys pearsoni	62.9523809523809	160	0.363636363636364	12	3	0.733333333333333	0.266666666666667	600.93415	NT
Ctenomys rionegrensis	66.3333333333333	125	0.2	4	1	0.833333333333333	0.166666666666667	600.93415	EN
Ctenomys torquatus	57.3333333333333	147	1	3	3	0.5	0.5	600.93415	LC
Cynomys ludovicianus	61.3333333333333	167	0.5	5	3	0.654761904761905	0.345238095238095	1567.7682	LC
Cynomys mexicanus	58	50.5	0.5	2	1	0.666666666666667	0.333333333333333	1567.7682	EN
Cynopterus brachyotis	23	36	0.215384615384615	6	1	0.8125	0.1875	1287.664	LC
Cynopterus sphinx	29.6666666666667	89	0.12	23	3	0.892857142857143	0.107142857142857	1285.2527	LC
Dasypus novemcinctus	40	56	0.2	5	1	0.833333333333333	0.166666666666667	1825	LC
Delphinus delphis	21	0	0	7	0	1	0	3545.59095	LC
Deltamys kempi	21	57	0.235294117647059	15	3	0.80952380952381	0.19047619047619	589.388299099621	LC
Desmodus rotundus	50.6538461538462	807	0.52	48	17	0.657894736842105	0.342105263157895	2779.7975	LC
Dryomys nitedula	41	246	0.0659340659340659	88	6	0.938144329896907	0.0618556701030928	879.124225	LC
Eidolon dupreanum	58	58	0.181818181818182	8	1	0.846153846153846	0.153846153846154	2190	VU
Eidolon helvum	58	0	0	6	0	1	0	1825	NT
Elephas maximus	36.4	44	0.25	9	2	0.8	0.2	8030	EN
Eothenomys chinensis	37.5	219	0.0652173913043478	89	6	0.938775510204082	0.0612244897959184	589.388299099621	LC
Eothenomys custos	21	61	0.0625	127	2	0.941176470588235	0.0588235294117647	589.388299099621	LC
Eothenomys melanogaster	39.5	100	0.0909090909090909	34	3	0.914285714285714	0.0857142857142857	589.388299099621	LC
Eothenomys miletus	21.3	63	0.0882352941176471	30	3	0.918918918918919	0.0810810810810811	589.388299099621	LC
Eozapus setchuanus	34.25	143	0.0816326530612245	98	5	0.924528301886792	0.0754716981132075	726.1971375	LC
Epomophorus gambianus	21	0	0	8	0	1	0	2349.856740625	LC
Epomops buettikoferi	58	58	0.25	4	1	0.8	0.2	2349.856740625	LC
Epomops franqueti	81	128	0.125	8	1	0.888888888888889	0.111111111111111	2349.856740625	LC
Eschrichtius robustus	48.25	46	0.5	2	1	0.666666666666667	0.333333333333333	10444.3345	LC
Euchoreutes naso	51	0	0	9	0	1	0	726.1971375	LC
Eulemur rubriventer	56.5	110	0.222527472527473	12	2	0.8125	0.1875	2920	VU
Eulemur rufus	40.25	114	0.21395881006865	11	3	0.821428571428571	0.178571428571429	3206.29594444444	VU
Eumetopias jubatus	64.3333333333333	99	0.5	2	1	0.633333333333333	0.366666666666667	3650	NT
Felis silvestris	47.6666666666667	46	0.150375939849624	14	1	0.863636363636364	0.136363636363636	2905.4	LC
Galea musteloides	53.4	111.5	0.126760563380282	34.5	3.5	0.8875	0.1125	389.8012	DD
Galemys pyrenaicus	39.4166666666667	45	0.222222222222222	7	2	0.818181818181818	0.181818181818182	730	VU
Gazella dorcas	59.6666666666667	85	0.166666666666667	10	2	0.857142857142857	0.142857142857143	2190	VU
Gazella gazella	55	46	0.037037037037037	5	1	0.964285714285714	0.0357142857142857	2190	EN
Gazella subgutturosa	68.3333333333333	136	0.5	3	2	0.666666666666667	0.333333333333333	2496.146666657	VU
Genetta genetta	50.5	80.5	0.048783712321523	39	2	0.953485576923077	0.0465144230769231	4194.899833343	LC
Genetta maculata	38.6666666666667	21	0.129166666666667	8	1	0.882352941176471	0.117647058823529	2764.52	LC
Gerbilliscus leucogaster	47.1111111111111	337	0.168079096045198	42	7	0.855072463768116	0.144927536231884	682.2908	LC
Gerbillus gerbillus	69.75	0	0	13	0	1	0	951.2818	LC
Gerbillus henleyi	39.4	143	0.189189189189189	48	4	0.840909090909091	0.159090909090909	951.2818	LC
Gerbillus nancillus	21	21	0.0714285714285714	13	1	0.933333333333333	0.0666666666666667	951.2818	DD
Gerbillus nanus	45.5	203	0.0833333333333333	57	4	0.923076923076923	0.0769230769230769	951.2818	LC
Gerbillus pyramidum	58	58	0.1	3	1	0.909090909090909	0.0909090909090909	951.2818	LC
Gerbillus tarabuli	21	21	0.0909090909090909	11	1	0.916666666666667	0.0833333333333333	951.2818	LC
Giraffa camelopardalis	56.1	195	0.163978494623656	30	4	0.859126984126984	0.140873015873016	5251.01166657	VU
Glaucomys sabrinus	39.75	21	0.0547945205479452	3	1	0.901234567901235	0.0987654320987654	1729.4573	LC
Glirulus japonicus	40.8	107	0.0384615384615385	72	3	0.962962962962963	0.037037037037037	883.5172	LC
Gorilla gorilla	60	0	0	2	0	1	0	8030	CR
Gracilinanus agilis	56.9	376	0.181818181818182	35	6	0.846153846153846	0.153846153846154	642.840025	LC
Graomys griseoflavus	21.5	42	0.142857142857143	12	2	0.875	0.125	589.388299099621	LC
Gulo gulo	22	43	0.464285714285714	1	1	0.666666666666667	0.333333333333333	2622.30185	LC
Handleyomys alfaroi	39.5	100	0.0741758241758242	30	2	0.928571428571429	0.0714285714285714	589.388299099621	LC
Handleyomys chapmani	21	21	0.1	10	1	0.909090909090909	0.0909090909090909	589.388299099621	VU
Handleyomys rostratus	21.6666666666667	44	0.0428571428571429	28	2	0.958904109589041	0.0410958904109589	589.388299099621	LC
Hapalemur griseus	51.4285714285714	184.5	0.333333333333333	7	3	0.75	0.25	3285	VU
Hemiechinus auritus	35.25	21	0.0303308823529412	31.5	1	0.970562770562771	0.0294372294372294	940.3939	LC
Herpestes javanicus	51.5714285714286	542	0.187990580847724	47	10	0.841768631813126	0.158231368186874	1472.701	LC
Hipposideros armiger	43.125	101	0.272727272727273	10	3	0.785714285714286	0.214285714285714	1834.2256	LC
Hipposideros caffer	32.25	129	0.0425531914893617	94	4	0.959183673469388	0.0408163265306122	1834.2256	LC
Hipposideros pratti	39.5	0	0	22	0	1	0	1834.2256	LC
Hipposideros ruber	25	92	0.0606060606060606	61	4	0.942857142857143	0.0571428571428571	1834.2256	LC
Holochilus chacarius	21	15	0.1	6	1	0.909090909090909	0.0909090909090909	766.22453	LC
Hydropotes inermis	22	22	0.0833333333333333	11	1	0.923076923076923	0.0769230769230769	2190	VU
Hylaeamys megacephalus	73.5	64	0.0416666666666667	10	1	0.96	0.04	470.3622	LC
Hylobates agilis	57.375	253	0.298148148148148	15	2	0.769230769230769	0.230769230769231	5475	EN
Hylobates lar	62.3333333333333	102	0.272727272727273	4	2	0.75	0.25	5475	EN
Hypsignathus monstrosus	58	58	0.111111111111111	7	1	0.9	0.1	2349.856740625	LC
Indri indri	51	81	0.272727272727273	9	2	0.781746031746032	0.218253968253968	4015	CR
Inia geoffrensis	44	85	0.25	4	2	0.75	0.25	4840.09	EN
Jaculus jaculus	41.3333333333333	0	0	26.5	0	1	0	919.8561	LC
Lama guanicoe	49.5	122	0.25	8	2	0.8	0.2	4064.145	LC
Laonastes aenigmamus	53.5833333333333	593	0.25	45	11	0.8	0.2	1032.92357373767	LC
Lasiurus blossevillii	48.4615384615385	630	0.142857142857143	92	13	0.875	0.125	2051.66620769231	LC
Lasiurus borealis	21	42	0.105263157894737	9	1	0.904761904761905	0.0952380952380952	2051.66620769231	LC
Lemur catta	45.6666666666667	58	0.5	2	1	0.666666666666667	0.333333333333333	2920	EN
Leopardus tigrinus	76	76	0.464285714285714	3	1	0.666666666666667	0.333333333333333	2190	VU
Leopoldamys edwardsi	37.4722222222222	119	0.08	48	3	0.924919484702093	0.0750805152979066	639.631831820818	LC
Lepilemur ankaranensis	60.6	125	0.384615384615385	3	1	0.705882352941177	0.294117647058824	1637.7709666715	EN
Lepilemur dorsalis	68.4285714285714	335	0.319148936170213	8	3	0.753424657534247	0.246575342465753	1637.7709666715	VU
Lepilemur edwardsi	48.7875	609	0.4	29	14	0.714285714285714	0.285714285714286	1637.7709666715	EN
Lepilemur mustelinus	48.9166666666667	67	0.333333333333333	3	2	0.75	0.25	1750.9197	NT
Lepilemur ruficaudatus	39.35	164	0.375	8.5	5	0.727272727272727	0.272727272727273	1637.7709666715	VU
Leptonychotes weddellii	58	58	0.2	5	1	0.833333333333333	0.166666666666667	4015	LC
Lepus brachyurus	64	21	0.1	7	1	0.909090909090909	0.0909090909090909	1047.27668	LC
Lepus californicus	28	28	0.111111111111111	6	1	0.9	0.1	1226.50635	LC
Lepus capensis	47.4107142857143	214	0.0898876404494382	75	5	0.917525773195876	0.0824742268041237	1047.27668	LC
Lepus europaeus	56.6666666666667	58	0.0833333333333333	16	1	0.92	0.08	730	LC
Lepus mandshuricus	34.3666666666666	179	0.111128048780488	80	7	0.898876404494382	0.101123595505618	1047.27668	LC
Lepus oiostolus	47.3333333333333	96	0.0889328063241107	26	2	0.916666666666667	0.0833333333333333	1047.27668	LC
Lepus sinensis	60.0416666666667	137	0.238095238095238	15	3	0.803571428571429	0.196428571428571	1047.27668	LC
Lepus timidus	44.25	115.5	0.125	11	2	0.887840670859539	0.112159329140461	1047.27668	LC
Lepus tolai	32	22	0.0714285714285714	7	1	0.933333333333333	0.0666666666666667	1047.27668	LC
Lepus yarkandensis	52.5	58	0.0952380952380952	10	1	0.911067193675889	0.0889328063241107	1047.27668	NT
Lontra longicaudis	59.5	79	1	1	1	0.5	0.5	3442.5583333285	NT
Lophostoma silvicolum	62.6666666666667	342	0.10077519379845	54	5	0.908450704225352	0.0915492957746479	2064.27635	LC
Loris tardigradus	61.8666666666666	194	0.5	3	2	0.666666666666667	0.333333333333333	2278.1475	EN
Loxodonta africana	66.0833333333333	489.5	0.260869565217391	28	8	0.793103448275862	0.206896551724138	9125	VU
Lutra lutra	81	64	0	9	1	0.923076923076923	0.0769230769230769	2772.962083343	NT
Lutrogale perspicillata	42	21	0.173913043478261	6	1	0.851851851851852	0.148148148148148	3650	VU
Lynx pardinus	83	0	0	3	0	1	0	1578.34	EN
Macaca fascicularis	55.3333333333333	250	0.3	15	5	0.769230769230769	0.230769230769231	5076.8362	LC
Macaca nemestrina	53.2526737967915	605	0.363636363636364	44	14	0.733333333333333	0.266666666666667	4015	VU
Marmosa robinsoni	50.8	508	0.104211405392508	126.5	10	0.905626223091976	0.0943737769080235	568.63755	LC
Marmosops noctivagus	39.75	92	0.038961038961039	67	2	0.9625	0.0375	642.840025	LC
Martes americana	61.4	251	0.230769230769231	23	4	0.806451612903226	0.193548387096774	2227.96	LC
Martes melampus	35.125	58	0.166666666666667	6	1	0.857142857142857	0.142857142857143	1772.805	LC
Martes zibellina	46	46	0.2	5	1	0.833333333333333	0.166666666666667	2087.381433343	LC
Megaloglossus woermanni	61.6666666666667	127	0.236111111111111	9	2	0.8	0.2	1553.79087272727	LC
Meles meles	49.3125	446	0.225352112676056	45	8	0.816091954022989	0.183908045977011	2161.2481	LC
Meriones libycus	57	170	0.552777777777778	9	3	0.642857142857143	0.357142857142857	649.48035	LC
Meriones meridianus	40.9513888888889	295	0.09	88	7	0.917431192660551	0.0825688073394495	608.148016666667	LC
Meriones tamariscinus	58	81	0.0555555555555556	27	1	0.947368421052632	0.0526315789473684	608.148016666667	LC
Mesoplodon densirostris	50.6	21	0.0215078630897317	11	1	0.972972972972973	0.027027027027027	6460.5	DD
Mesoplodon europaeus	51.5	81	0.2	4	1	0.816666666666667	0.183333333333333	6460.5	DD
Microcebus griseorufus	45	58	0.25	5	1	0.8	0.2	2053.5145	LC
Microcebus lehilahytsara	51.5	21	0.0588235294117647	13	1	0.944444444444444	0.0555555555555556	2053.5145	VU
